,Date,load
103488,2020-12-14,1322.9926572795957
103489,2020-12-14,1323.9503313581226
103490,2020-12-14,1324.9080054366495
103491,2020-12-14,1325.8656795152056
103492,2020-12-14,1326.8233535937034
103493,2020-12-14,1328.5351312449784
103494,2020-12-14,1330.2469088962243
103495,2020-12-14,1331.9586865474703
103496,2020-12-14,1333.6704641988035
103497,2020-12-14,1333.2669003699266
103498,2020-12-14,1332.8633365410496
103499,2020-12-14,1332.459772712231
103500,2020-12-14,1332.056208883383
103501,2020-12-14,1330.2066260258725
103502,2020-12-14,1328.357043168391
103503,2020-12-14,1326.5074603108806
103504,2020-12-14,1324.65787745337
103505,2020-12-14,1316.8310426313255
103506,2020-12-14,1309.004207809281
103507,2020-12-14,1301.1773729872657
103508,2020-12-14,1293.3505381651921
103509,2020-12-14,1288.2096131765866
103510,2020-12-14,1283.068688187952
103511,2020-12-14,1277.9277631992882
103512,2020-12-14,1272.7868382107117
103513,2020-12-14,1275.1242095188645
103514,2020-12-14,1277.461580826959
103515,2020-12-14,1279.798952135112
103516,2020-12-14,1282.1363234432065
103517,2020-12-14,1282.306651289633
103518,2020-12-14,1282.4769791360013
103519,2020-12-14,1282.6473069823987
103520,2020-12-14,1282.817634828767
103521,2020-12-14,1294.741312630882
103522,2020-12-14,1306.6649904330552
103523,2020-12-14,1318.588668235141
103524,2020-12-14,1330.5123460372852
103525,2020-12-14,1350.5600630611589
103526,2020-12-14,1370.6077800850617
103527,2020-12-14,1390.6554971089645
103528,2020-12-14,1410.7032141328382
103529,2020-12-14,1426.0850059419754
103530,2020-12-14,1441.4667977510544
103531,2020-12-14,1456.8485895601334
103532,2020-12-14,1472.2303813692124
103533,2020-12-14,1486.983502767107
103534,2020-12-14,1501.7366241650307
103535,2020-12-14,1516.4897455629252
103536,2020-12-14,1531.242866960849
103537,2020-12-14,1545.114019956789
103538,2020-12-14,1558.985172952729
103539,2020-12-14,1572.8563259486982
103540,2020-12-14,1586.7274789446383
103541,2020-12-14,1597.5897850467882
103542,2020-12-14,1608.452091148938
103543,2020-12-14,1619.314397251088
103544,2020-12-14,1630.1767033532378
103545,2020-12-14,1634.0336557140981
103546,2020-12-14,1637.8906080749002
103547,2020-12-14,1641.7475604357314
103548,2020-12-14,1645.6045127965626
103549,2020-12-14,1645.2234678091772
103550,2020-12-14,1644.842422821821
103551,2020-12-14,1644.4613778344356
103552,2020-12-14,1644.080332847021
103553,2020-12-14,1636.4296509089763
103554,2020-12-14,1628.7789689709316
103555,2020-12-14,1621.1282870328869
103556,2020-12-14,1613.477605094813
103557,2020-12-14,1605.0999142508663
103558,2020-12-14,1596.7222234069195
103559,2020-12-14,1588.3445325629436
103560,2020-12-14,1579.9668417189969
103561,2020-12-14,1574.2013584026718
103562,2020-12-14,1568.4358750863175
103563,2020-12-14,1562.6703917699633
103564,2020-12-14,1556.9049084536382
103565,2020-12-14,1550.9200419119152
103566,2020-12-14,1544.9351753702504
103567,2020-12-14,1538.9503088285855
103568,2020-12-14,1532.9654422868916
103569,2020-12-14,1528.4607541385049
103570,2020-12-14,1523.9560659901472
103571,2020-12-14,1519.4513778418186
103572,2020-12-14,1514.946689693461
103573,2020-12-14,1512.9703549635888
103574,2020-12-14,1510.9940202337457
103575,2020-12-14,1509.0176855038735
103576,2020-12-14,1507.0413507740304
103577,2020-12-14,1504.0553751905682
103578,2020-12-14,1501.0693996071059
103579,2020-12-14,1498.0834240235854
103580,2020-12-14,1495.0974484401231
103581,2020-12-14,1495.2109262078884
103582,2020-12-14,1496.6955941631459
103583,2020-12-14,1491.1011450410297
